entity_id,stratum,period,hclass,has_role_b,pop_n,sample_n,weight
as1-b469a66e5b2e9e99#11,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-6ce889f5cb16bf99#9,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-aca2f3ca695dcdd7#32,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-2d59823d3dd5bd78#1,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-2350409e32ecfb95#3,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-f13977c0ab281063#5,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-b0cc2f61fdedff73#26,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-fc975ac8a6afc98e#9,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-6d842879a59e8797#0,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-f412a60a22054066#1,1918-1930|M|role,1918-1930,M,role,1439,25,57.56
as1-faeb08074f860465#1,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-08f1dbec3893e152#0,1948-1963|F|role,1948-1963,F,role,6926,25,277.04
as1-b7741d129e5788e9#0,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-74a059af5eab0b8d#0,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-5c3322b5ff79cbe4#2,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-0b096eff97a88375#1,1948-1963|F|role,1948-1963,F,role,6926,25,277.04
as1-1917e395606b7998#10,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-f6d5ea03a298909a#3,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-7895f37186bb9223#23,1948-1963|F|norole,1948-1963,F,norole,49313,25,1972.52
as1-dc25288efbf4e73d#2,1933-1945|M|role,1933-1945,M,role,1796,25,71.84
as1-cef325f368fee2cd#1,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
